num_date_time,answer
1 2020-08-25 00,8658.057484140503
1 2020-08-25 01,8653.616558113014
1 2020-08-25 02,8644.83802961166
1 2020-08-25 03,8627.60757114695
1 2020-08-25 04,8612.328503862249
1 2020-08-25 05,8587.38755356814
1 2020-08-25 06,8581.977597223004
1 2020-08-25 07,8614.303644673673
1 2020-08-25 08,8655.270802980813
1 2020-08-25 09,8697.570624424217
1 2020-08-25 10,8735.57296971624
1 2020-08-25 11,8760.463612469688
1 2020-08-25 12,8758.461866962725
1 2020-08-25 13,8760.33536007327
1 2020-08-25 14,8766.005686167024
1 2020-08-25 15,8761.535290845059
1 2020-08-25 16,8769.915415221647
1 2020-08-25 17,8763.934151395955
1 2020-08-25 18,8744.52674100078
1 2020-08-25 19,8747.89960668451
1 2020-08-25 20,8741.148669761164
1 2020-08-25 21,8738.662730964545
1 2020-08-25 22,8732.52309721193
1 2020-08-25 23,8722.979293829825
1 2020-08-26 00,8713.948276565288
1 2020-08-26 01,8704.359932011095
1 2020-08-26 02,8678.517739386878
1 2020-08-26 03,8665.005275621983
1 2020-08-26 04,8634.662950514736
1 2020-08-26 05,8624.561943515097
1 2020-08-26 06,8618.44042040687
1 2020-08-26 07,8657.218696904773
1 2020-08-26 08,8689.574855076102
1 2020-08-26 09,8737.715647552635
1 2020-08-26 10,8759.521508999482
1 2020-08-26 11,8784.0426039195
1 2020-08-26 12,8768.191859288276
1 2020-08-26 13,8767.105072937284
1 2020-08-26 14,8780.802431798711
1 2020-08-26 15,8782.239769402873
1 2020-08-26 16,8767.024181014935
1 2020-08-26 17,8757.084868728767
1 2020-08-26 18,8737.140534118484
1 2020-08-26 19,8732.24840069067
1 2020-08-26 20,8724.453825135693
1 2020-08-26 21,8726.758630201322
1 2020-08-26 22,8719.025528487362
1 2020-08-26 23,8697.77143952178
1 2020-08-27 00,8676.852904968933
1 2020-08-27 01,8667.981726768876
1 2020-08-27 02,8656.258430268073
1 2020-08-27 03,8646.325517186659
1 2020-08-27 04,8631.698798067617
1 2020-08-27 05,8621.590390322868
1 2020-08-27 06,8628.646695461124
1 2020-08-27 07,8642.656507592663
1 2020-08-27 08,8648.616313306808
1 2020-08-27 09,8684.209653312739
1 2020-08-27 10,8697.164134231873
1 2020-08-27 11,8716.961646375516
1 2020-08-27 12,8727.093924667875
1 2020-08-27 13,8755.696875822763
1 2020-08-27 14,8779.51009860486
1 2020-08-27 15,8786.826003840066
1 2020-08-27 16,8775.012054124767
1 2020-08-27 17,8759.146573242457
1 2020-08-27 18,8722.381891573637
1 2020-08-27 19,8723.69741774564
1 2020-08-27 20,8733.456754923885
1 2020-08-27 21,8735.128241205517
1 2020-08-27 22,8747.48141781225
1 2020-08-27 23,8729.777830478619
1 2020-08-28 00,8731.409545321625
1 2020-08-28 01,8711.381691282526
1 2020-08-28 02,8688.369131400234
1 2020-08-28 03,8660.397343372162
1 2020-08-28 04,8647.718191129268
1 2020-08-28 05,8628.218259127068
1 2020-08-28 06,8618.938958539893
1 2020-08-28 07,8644.877299263731
1 2020-08-28 08,8682.07340619334
1 2020-08-28 09,8745.43749245934
1 2020-08-28 10,8764.470567957407
1 2020-08-28 11,8785.316475881133
