num_date_time,answer
1 2020-08-25 00,8661.384
1 2020-08-25 01,8659.692
1 2020-08-25 02,8644.296
1 2020-08-25 03,8622.417
1 2020-08-25 04,8604.804
1 2020-08-25 05,8579.782
1 2020-08-25 06,8575.157
1 2020-08-25 07,8603.871
1 2020-08-25 08,8653.283
1 2020-08-25 09,8683.64
1 2020-08-25 10,8722.908
1 2020-08-25 11,8750.816
1 2020-08-25 12,8741.767
1 2020-08-25 13,8752.267
1 2020-08-25 14,8766.937
1 2020-08-25 15,8758.453
1 2020-08-25 16,8762.256
1 2020-08-25 17,8755.148
1 2020-08-25 18,8745.807
1 2020-08-25 19,8752.804
1 2020-08-25 20,8735.079
1 2020-08-25 21,8739.81
1 2020-08-25 22,8729.752
1 2020-08-25 23,8722.906
1 2020-08-26 00,8707.324
1 2020-08-26 01,8701.246
1 2020-08-26 02,8680.979
1 2020-08-26 03,8664.181
1 2020-08-26 04,8634.576
1 2020-08-26 05,8619.01
1 2020-08-26 06,8613.627
1 2020-08-26 07,8659.201
1 2020-08-26 08,8682.947
1 2020-08-26 09,8730.79
1 2020-08-26 10,8749.234
1 2020-08-26 11,8772.378
1 2020-08-26 12,8753.971
1 2020-08-26 13,8751.825
1 2020-08-26 14,8769.538
1 2020-08-26 15,8770.153
1 2020-08-26 16,8767.007
1 2020-08-26 17,8752.714
1 2020-08-26 18,8744.046
1 2020-08-26 19,8744.551
1 2020-08-26 20,8733.49
1 2020-08-26 21,8724.427
1 2020-08-26 22,8722.5
1 2020-08-26 23,8702.635
1 2020-08-27 00,8668.772
1 2020-08-27 01,8659.794
1 2020-08-27 02,8657.317
1 2020-08-27 03,8648.221
1 2020-08-27 04,8623.763
1 2020-08-27 05,8623.121
1 2020-08-27 06,8626.829
1 2020-08-27 07,8633.818
1 2020-08-27 08,8634.83
1 2020-08-27 09,8666.983
1 2020-08-27 10,8683.052
1 2020-08-27 11,8687.261
1 2020-08-27 12,8708.47
1 2020-08-27 13,8742.253
1 2020-08-27 14,8774.673
1 2020-08-27 15,8780.352
1 2020-08-27 16,8777.421
1 2020-08-27 17,8752.715
1 2020-08-27 18,8717.652
1 2020-08-27 19,8717.202
1 2020-08-27 20,8735.064
1 2020-08-27 21,8739.528
1 2020-08-27 22,8749.435
1 2020-08-27 23,8722.442
1 2020-08-28 00,8731.958
1 2020-08-28 01,8716.203
1 2020-08-28 02,8694.556
1 2020-08-28 03,8660.634
1 2020-08-28 04,8657.021
1 2020-08-28 05,8629.737
1 2020-08-28 06,8621.09
1 2020-08-28 07,8641.431
1 2020-08-28 08,8676.153
1 2020-08-28 09,8723.706
1 2020-08-28 10,8745.158
1 2020-08-28 11,8764.23
1 2020-08-28 12,8775.334
1 2020-08-28 13,8771.336
1 2020-08-28 14,8795.237
1 2020-08-28 15,8784.143
1 2020-08-28 16,8783.149
1 2020-08-28 17,8781.583
1 2020-08-28 18,8765.486
1 2020-08-28 19,8756.102
1 2020-08-28 20,8739.722
1 2020-08-28 21,8739.387
1 2020-08-28 22,8715.873
1 2020-08-28 23,8693.37
1 2020-08-29 00,8682.1455
1 2020-08-29 01,8698.201
1 2020-08-29 02,8698.806
1 2020-08-29 03,8673.789
1 2020-08-29 04,8650.64
1 2020-08-29 05,8595.772
1 2020-08-29 06,8576.793
1 2020-08-29 07,8612.949
1 2020-08-29 08,8663.293
1 2020-08-29 09,8669.665
1 2020-08-29 10,8688.5
1 2020-08-29 11,8706.756
1 2020-08-29 12,8704.134
1 2020-08-29 13,8719.863
1 2020-08-29 14,8740.735
1 2020-08-29 15,8747.1875
1 2020-08-29 16,8753.128
1 2020-08-29 17,8750.397
1 2020-08-29 18,8733.103
1 2020-08-29 19,8729.465
1 2020-08-29 20,8709.52
1 2020-08-29 21,8679.334
1 2020-08-29 22,8670.44
1 2020-08-29 23,8670.744
1 2020-08-30 00,8663.198
1 2020-08-30 01,8654.716
1 2020-08-30 02,8631.571
1 2020-08-30 03,8610.214
1 2020-08-30 04,8598.57
1 2020-08-30 05,8555.837
1 2020-08-30 06,8541.054
1 2020-08-30 07,8551.771
1 2020-08-30 08,8582.683
1 2020-08-30 09,8598.042
1 2020-08-30 10,8647.704
1 2020-08-30 11,8695.75
1 2020-08-30 12,8701.571
1 2020-08-30 13,8715.041
1 2020-08-30 14,8726.002
1 2020-08-30 15,8735.456
1 2020-08-30 16,8730.6455
1 2020-08-30 17,8739.79
1 2020-08-30 18,8735.947
1 2020-08-30 19,8730.54
1 2020-08-30 20,8708.119
1 2020-08-30 21,8651.311
1 2020-08-30 22,8627.686
1 2020-08-30 23,8583.249
1 2020-08-31 00,8580.265
1 2020-08-31 01,8584.965
1 2020-08-31 02,8570.935
1 2020-08-31 03,8556.862
1 2020-08-31 04,8535.261
1 2020-08-31 05,8520.2
1 2020-08-31 06,8517.303
1 2020-08-31 07,8533.616
1 2020-08-31 08,8547.123
1 2020-08-31 09,8597.195
1 2020-08-31 10,8632.666
1 2020-08-31 11,8645.201
1 2020-08-31 12,8652.145
1 2020-08-31 13,8679.135
1 2020-08-31 14,8721.1875
1 2020-08-31 15,8721.758
1 2020-08-31 16,8728.485
1 2020-08-31 17,8729.937
1 2020-08-31 18,8718.05
1 2020-08-31 19,8709.197
1 2020-08-31 20,8666.876
1 2020-08-31 21,8659.362
1 2020-08-31 22,8672.603
1 2020-08-31 23,8689.204
2 2020-08-25 00,1066.6223
2 2020-08-25 01,1051.3737
2 2020-08-25 02,1048.8688
2 2020-08-25 03,1041.968
2 2020-08-25 04,1038.6472
2 2020-08-25 05,1041.6334
2 2020-08-25 06,1164.4362
2 2020-08-25 07,1651.4062
2 2020-08-25 08,1992.2775
2 2020-08-25 09,2076.5786
2 2020-08-25 10,2080.81
2 2020-08-25 11,2083.5103
2 2020-08-25 12,2077.587
2 2020-08-25 13,2080.6553
2 2020-08-25 14,2073.753
2 2020-08-25 15,2072.361
2 2020-08-25 16,2017.6185
2 2020-08-25 17,1874.9913
2 2020-08-25 18,1581.1392
2 2020-08-25 19,1326.7653
2 2020-08-25 20,1260.393
2 2020-08-25 21,1196.3104
2 2020-08-25 22,1147.9873
2 2020-08-25 23,1138.3989
