num_date_time,answer
1 2020-08-25 00,8654.730968281008
1 2020-08-25 01,8647.541116226028
1 2020-08-25 02,8645.380059223316
1 2020-08-25 03,8632.798142293897
1 2020-08-25 04,8619.8530077245
1 2020-08-25 05,8594.99310713628
1 2020-08-25 06,8588.798194446008
1 2020-08-25 07,8624.73628934735
1 2020-08-25 08,8657.258605961628
1 2020-08-25 09,8711.501248848435
1 2020-08-25 10,8748.237939432482
1 2020-08-25 11,8770.111224939377
1 2020-08-25 12,8775.15673392545
1 2020-08-25 13,8768.403720146538
1 2020-08-25 14,8765.074372334046
1 2020-08-25 15,8764.61758169012
1 2020-08-25 16,8777.574830443296
1 2020-08-25 17,8772.720302791913
1 2020-08-25 18,8743.246482001558
1 2020-08-25 19,8742.995213369022
1 2020-08-25 20,8747.218339522327
1 2020-08-25 21,8737.515461929092
1 2020-08-25 22,8735.29419442386
1 2020-08-25 23,8723.05258765965
1 2020-08-26 00,8720.572553130576
1 2020-08-26 01,8707.47386402219
1 2020-08-26 02,8676.056478773757
1 2020-08-26 03,8665.829551243965
1 2020-08-26 04,8634.749901029472
1 2020-08-26 05,8630.113887030193
1 2020-08-26 06,8623.25384081374
1 2020-08-26 07,8655.236393809546
1 2020-08-26 08,8696.202710152202
1 2020-08-26 09,8744.641295105268
1 2020-08-26 10,8769.809017998965
1 2020-08-26 11,8795.707207839001
1 2020-08-26 12,8782.412718576554
1 2020-08-26 13,8782.385145874567
1 2020-08-26 14,8792.06686359742
1 2020-08-26 15,8794.326538805748
1 2020-08-26 16,8767.04136202987
1 2020-08-26 17,8761.455737457534
1 2020-08-26 18,8730.235068236969
1 2020-08-26 19,8719.94580138134
1 2020-08-26 20,8715.417650271387
1 2020-08-26 21,8729.090260402643
1 2020-08-26 22,8715.551056974724
1 2020-08-26 23,8692.90787904356
1 2020-08-27 00,8684.933809937866
1 2020-08-27 01,8676.169453537752
1 2020-08-27 02,8655.19986053615
1 2020-08-27 03,8644.430034373318
1 2020-08-27 04,8639.634596135233
1 2020-08-27 05,8620.059780645735
1 2020-08-27 06,8630.464390922249
1 2020-08-27 07,8651.495015185325
1 2020-08-27 08,8662.402626613617
1 2020-08-27 09,8701.436306625477
1 2020-08-27 10,8711.276268463746
1 2020-08-27 11,8746.662292751029
1 2020-08-27 12,8745.71784933575
1 2020-08-27 13,8769.140751645524
1 2020-08-27 14,8784.34719720972
1 2020-08-27 15,8793.300007680129
1 2020-08-27 16,8772.603108249536
1 2020-08-27 17,8765.578146484913
1 2020-08-27 18,8727.111783147273
1 2020-08-27 19,8730.192835491282
1 2020-08-27 20,8731.84950984777
1 2020-08-27 21,8730.728482411034
1 2020-08-27 22,8745.527835624503
1 2020-08-27 23,8737.11366095724
1 2020-08-28 00,8730.861090643251
1 2020-08-28 01,8706.560382565052
1 2020-08-28 02,8682.182262800467
1 2020-08-28 03,8660.160686744324
1 2020-08-28 04,8638.415382258534
1 2020-08-28 05,8626.699518254136
1 2020-08-28 06,8616.787917079786
1 2020-08-28 07,8648.32359852746
1 2020-08-28 08,8687.99381238668
1 2020-08-28 09,8767.16898491868
1 2020-08-28 10,8783.783135914813
1 2020-08-28 11,8806.402951762268
1 2020-08-28 12,8798.116883126995
1 2020-08-28 13,8803.466451993085
1 2020-08-28 14,8812.631423162924
1 2020-08-28 15,8817.090211425184
1 2020-08-28 16,8803.577705493854
1 2020-08-28 17,8799.303641169148
1 2020-08-28 18,8760.371132376944
1 2020-08-28 19,8777.792285018912
1 2020-08-28 20,8756.954637468674
1 2020-08-28 21,8762.826179250638
1 2020-08-28 22,8722.337000494843
1 2020-08-28 23,8712.845256383245
1 2020-08-29 00,8689.693020366667
1 2020-08-29 01,8691.895608010513
1 2020-08-29 02,8688.936088763778
1 2020-08-29 03,8665.289555714011
1 2020-08-29 04,8639.38570288842
1 2020-08-29 05,8628.395148476791
1 2020-08-29 06,8599.282589953249
1 2020-08-29 07,8602.312054133443
1 2020-08-29 08,8641.73823993132
1 2020-08-29 09,8665.104254750291
1 2020-08-29 10,8672.160832257703
1 2020-08-29 11,8713.638483826047
1 2020-08-29 12,8728.65327504308
1 2020-08-29 13,8726.201835534877
1 2020-08-29 14,8756.240280354748
1 2020-08-29 15,8754.63175236856
1 2020-08-29 16,8752.989710296404
1 2020-08-29 17,8742.555542659315
1 2020-08-29 18,8719.648693925212
1 2020-08-29 19,8726.47312365894
1 2020-08-29 20,8727.17303028775
1 2020-08-29 21,8703.634641274693
1 2020-08-29 22,8696.395319958756
