num_date_time,answer
1 2020-08-25 00,8693.652638078273
1 2020-08-25 01,8675.290975310429
1 2020-08-25 02,8646.5287659034
1 2020-08-25 03,8585.735975925689
1 2020-08-25 04,8556.62917188025
1 2020-08-25 05,8543.936988222642
1 2020-08-25 06,8555.232427159714
1 2020-08-25 07,8582.52939785875
1 2020-08-25 08,8617.675713771554
1 2020-08-25 09,8682.278338440492
1 2020-08-25 10,8692.263208259013
1 2020-08-25 11,8726.919341142599
1 2020-08-25 12,8722.080125198278
1 2020-08-25 13,8728.514729985547
1 2020-08-25 14,8749.566164591552
1 2020-08-25 15,8751.788379335168
1 2020-08-25 16,8748.613632534505
1 2020-08-25 17,8720.617440204447
1 2020-08-25 18,8664.118513497604
1 2020-08-25 19,8675.986391121234
1 2020-08-25 20,8673.770610096528
1 2020-08-25 21,8648.661747869224
1 2020-08-25 22,8658.837874908133
1 2020-08-25 23,8655.161077821698
1 2020-08-26 00,8638.108186849631
1 2020-08-26 01,8612.1045970883
1 2020-08-26 02,8597.979405017984
1 2020-08-26 03,8593.280266515232
1 2020-08-26 04,8575.333987864888
1 2020-08-26 05,8557.30644513159
1 2020-08-26 06,8530.72570407848
1 2020-08-26 07,8536.015887189254
1 2020-08-26 08,8563.707685052252
1 2020-08-26 09,8636.793717620114
1 2020-08-26 10,8679.980008943321
1 2020-08-26 11,8716.546094175063
1 2020-08-26 12,8757.306821132814
1 2020-08-26 13,8752.004087964173
1 2020-08-26 14,8768.950713785776
1 2020-08-26 15,8794.569112187806
1 2020-08-26 16,8799.923775099558
1 2020-08-26 17,8750.436181866153
1 2020-08-26 18,8720.578338143174
1 2020-08-26 19,8697.642046342424
1 2020-08-26 20,8717.644573368681
1 2020-08-26 21,8740.38102786097
1 2020-08-26 22,8740.277215543381
1 2020-08-26 23,8706.727078726657
1 2020-08-27 00,8701.354031380371
1 2020-08-27 01,8667.515723078854
1 2020-08-27 02,8649.490995104503
1 2020-08-27 03,8645.130853772169
1 2020-08-27 04,8631.010850265171
1 2020-08-27 05,8595.575923159064
1 2020-08-27 06,8578.110576116896
1 2020-08-27 07,8593.831790418353
1 2020-08-27 08,8603.986696882463
1 2020-08-27 09,8647.065909807807
1 2020-08-27 10,8668.267485796365
1 2020-08-27 11,8676.736286189129
1 2020-08-27 12,8710.648876827452
1 2020-08-27 13,8739.803006515001
1 2020-08-27 14,8788.976933321637
1 2020-08-27 15,8801.353667812036
1 2020-08-27 16,8791.02251867129
1 2020-08-27 17,8758.327894662141
1 2020-08-27 18,8711.702032003937
1 2020-08-27 19,8674.566458734549
1 2020-08-27 20,8657.572702667736
1 2020-08-27 21,8642.208114439012
1 2020-08-27 22,8671.318143285498
1 2020-08-27 23,8668.004313687346
1 2020-08-28 00,8674.818994587597
1 2020-08-28 01,8645.386221142999
1 2020-08-28 02,8629.288903884091
1 2020-08-28 03,8617.019188286631
1 2020-08-28 04,8597.278195332969
1 2020-08-28 05,8560.48911001315
1 2020-08-28 06,8558.593602730974
1 2020-08-28 07,8581.6532303072
1 2020-08-28 08,8606.693967056048
1 2020-08-28 09,8682.43454713325
